City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Valparai,IN,10.3667,76.9667,56.97,83,13,2.3,few clouds
79,Nanortalik,GL,60.1432,-45.2371,9.14,61,100,13.76,overcast clouds
80,Ushuaia,AR,-54.8,-68.3,49.66,57,20,16.11,few clouds
81,Mahebourg,MU,-20.4081,57.7,79.25,80,100,15.55,overcast clouds
82,Nguruka,TZ,-5.1092,31.0419,62.74,96,100,2.1,overcast clouds
83,Chokurdakh,RU,70.6333,147.9167,-31.81,100,100,1.97,overcast clouds
84,Bonthe,SL,7.5264,-12.505,75.4,87,47,3.44,scattered clouds
85,Usakos,NA,-22.0,15.6,72.77,72,100,5.01,overcast clouds
86,Hobart,AU,-42.8794,147.3294,74.01,49,20,1.01,few clouds
87,Clyde River,CA,70.4692,-68.5914,-27.17,68,100,3.44,light snow
88,Nome,US,64.5011,-165.4064,-0.33,60,0,11.5,clear sky
89,Cayenne,GF,4.9333,-52.3333,80.1,85,75,5.01,broken clouds
90,Severo-Kurilsk,RU,50.6789,156.125,30.07,83,92,11.52,overcast clouds
91,Beloha,MG,-25.1667,45.05,73.96,91,100,21.59,moderate rain
92,Vostok,RU,46.4856,135.8833,-0.08,86,100,4.12,overcast clouds
93,Nara,JP,34.6851,135.8049,42.04,62,26,13.44,scattered clouds
94,Arawa,PG,-6.2132,155.5367,89.33,61,15,7.9,few clouds
95,Provideniya,RU,64.3833,-173.3,-1.66,79,0,11.81,clear sky
96,Nikolskoye,RU,59.7035,30.7861,26.71,96,100,5.12,overcast clouds
97,Sur,OM,22.5667,59.5289,70.57,44,1,7.9,clear sky
98,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,75.15,45,4,9.44,clear sky
99,Tulum,MX,20.2167,-87.4667,75.25,88,81,7.47,broken clouds
100,Victoria,HK,22.2855,114.1577,64.18,78,99,1.01,overcast clouds
101,Matveyevka,RU,52.15,56.1833,18.55,90,100,7.25,light snow
102,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,13.8,scattered clouds
103,Lebu,CL,-37.6167,-73.65,58.46,82,0,17.25,clear sky
104,Meulaboh,ID,4.1363,96.1285,78.76,78,89,5.73,overcast clouds
105,Moerai,PF,-22.4333,-151.3333,80.2,73,99,15.19,overcast clouds
106,Tasiilaq,GL,65.6145,-37.6368,17.76,54,93,7.43,overcast clouds
107,Sitka,US,57.0531,-135.33,42.69,75,100,25.32,light rain
108,Manoel Urbano,BR,-8.8389,-69.2597,72.63,99,100,2.21,overcast clouds
109,Chemax,MX,20.65,-87.9333,69.85,88,19,5.01,few clouds
110,Gualeguaychu,AR,-33.0094,-58.5172,67.03,88,0,12.12,clear sky
111,Guerrero Negro,MX,27.9769,-114.0611,61.41,51,0,14.27,clear sky
112,Adrar,MR,20.5022,-10.0711,63.72,7,0,9.08,clear sky
